Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Establishment_Age
FDE11,17.7,Regular,0.06072282399802762,Starchy Foods,184.3924,1997,Small,Tier 1,Supermarket Type1,4257.1252,27
NCU54,8.88,Low Fat,0.098775709,Household,208.927,1999,Medium,Tier 1,Supermarket Type1,7130.718,25
FDD51,11.15,Low Fat,0.119852889,Dairy,44.9744,1987,High,Tier 3,Supermarket Type1,498.0184,37
FDO60,20.0,Low Fat,0.034563936,Baking Goods,45.3086,2007,Small,Tier 2,Supermarket Type1,490.6946,17
NCS06,7.935,Low Fat,0.031710329,Household,263.091,1987,High,Tier 3,Supermarket Type1,5522.811,37
FDX50,20.1,Low Fat,0.074778547,Dairy,110.7228,2002,Small,Tier 2,Supermarket Type1,1657.842,22
FDQ55,13.65,Regular,0.013035609,Fruits and Vegetables,114.7834,2004,Small,Tier 2,Supermarket Type1,3455.502,20
FDL52,6.635,Regular,0.046277956,Frozen Foods,36.7506,2009,Medium,Tier 3,Supermarket Type2,75.9012,15
FDK52,18.25,Low Fat,0.0793795,Frozen Foods,226.1062,2002,Small,Tier 2,Supermarket Type1,6771.186,22
NCO02,11.15,Low Fat,0.073783159,Others,66.0142,2007,Small,Tier 2,Supermarket Type1,988.713,17
NCO30,19.5,Low Fat,0.01572192,Household,185.6608,2004,Small,Tier 2,Supermarket Type1,918.804,20
FDA33,6.48,Low Fat,0.033952603,Snack Foods,148.2076,1999,Medium,Tier 1,Supermarket Type1,3399.5748,25
FDB12,11.15,Regular,0.105220024,Baking Goods,102.7648,1987,High,Tier 3,Supermarket Type1,1142.5128,37
FDT40,5.985,Low Fat,0.095715608,Frozen Foods,125.8678,1987,High,Tier 3,Supermarket Type1,3560.6984,37
NCO05,7.27,Low Fat,0.046822808,Health and Hygiene,99.3384,2007,Small,Tier 2,Supermarket Type1,2759.0752,17
FDR32,6.78,Regular,0.06072282399802762,Fruits and Vegetables,227.5694,1999,Medium,Tier 1,Supermarket Type1,3653.9104,25
FDM04,9.195,Regular,0.04731256,Frozen Foods,50.7666,2009,Medium,Tier 3,Supermarket Type2,512.666,15
DRL01,19.5,Regular,0.077108099,Soft Drinks,232.8958,1987,High,Tier 3,Supermarket Type1,5608.6992,37
FDQ56,6.59,Low Fat,0.106027474,Fruits and Vegetables,83.9908,2009,Medium,Tier 3,Supermarket Type2,1426.1436,15
FDH08,7.51,Low Fat,0.01742908,Fruits and Vegetables,229.601,1997,Small,Tier 1,Supermarket Type1,6201.927,27
NCQ06,13.375206117021275,Low Fat,0.073229342,Household,254.1014,1985,Small,Tier 1,Grocery Store,255.0014,39
FDG16,12.870898876404494,Low Fat,0.157257637,Frozen Foods,215.0192,1985,Small,Tier 1,Grocery Store,1078.596,39
FDZ40,12.870898876404494,Low Fat,0.039988162,Frozen Foods,55.7298,1985,Medium,Tier 3,Supermarket Type3,1024.6662,39
FDY51,12.5,Low Fat,0.081119484,Meat,220.0798,2004,Small,Tier 2,Supermarket Type1,1322.2788,20
NCN41,17.0,Low Fat,0.052421981,Health and Hygiene,123.773,2009,Medium,Tier 3,Supermarket Type2,1231.73,15
NCM17,13.175058548009366,Low Fat,0.070791391,Health and Hygiene,46.4086,1985,Medium,Tier 3,Supermarket Type3,2007.387,39
FDP39,12.65,Low Fat,0.069817659,Meat,53.5324,2007,Small,Tier 2,Supermarket Type1,830.9184,17
FDZ08,12.5,Regular,0.109971578,Fruits and Vegetables,82.7592,2004,Small,Tier 2,Supermarket Type1,577.9144,20
FDU03,18.7,Regular,0.091950972,Meat,184.2292,2009,Medium,Tier 3,Supermarket Type2,1277.0044,15
FDZ49,11.0,Regular,0.133145617,Canned,218.4798,1997,Small,Tier 1,Supermarket Type1,2203.798,27
NCX30,13.375206117021275,Low Fat,0.046609281,Household,248.6776,1985,Small,Tier 1,Grocery Store,495.3552,39
FDV08,7.35,Low Fat,0.028652919,Fruits and Vegetables,40.5454,2002,Small,Tier 2,Supermarket Type1,545.2902,22
FDB15,10.895,Low Fat,0.136696892,Dairy,264.5568,1987,High,Tier 3,Supermarket Type1,5536.7928,37
FDY49,17.2,Regular,0.012002075,Canned,165.3184,1987,High,Tier 3,Supermarket Type1,990.7104,37
FDF24,15.5,Regular,0.025513973,Baking Goods,83.7934,2007,Small,Tier 2,Supermarket Type1,1474.0812,17
DRK47,7.905,Low Fat,0.064194304,Hard Drinks,229.4694,2002,Small,Tier 2,Supermarket Type1,2055.3246,22
DRD37,9.8,Low Fat,0.013920032,Soft Drinks,45.006,2007,Small,Tier 2,Supermarket Type1,792.302,17
FDH40,11.6,Regular,0.079251097,Frozen Foods,79.2276,2009,Medium,Tier 3,Supermarket Type2,649.8208,15
FDL12,12.296461100569259,Regular,0.121043709,Baking Goods,59.422,1985,Medium,Tier 3,Supermarket Type3,1078.596,39
FDW11,11.36758620689655,Low Fat,0.048545853,Breads,60.1194,1985,Medium,Tier 3,Supermarket Type3,1114.5492,39
NCE06,5.825,Low Fat,0.091467933,Household,159.7894,2004,Small,Tier 2,Supermarket Type1,1294.3152,20
FDF32,16.35,Low Fat,0.06101449825,Fruits and Vegetables,196.3426,2009,Medium,Tier 3,Supermarket Type2,1384.1982,15
DRI47,14.7,Low Fat,0.020916223,Hard Drinks,141.8128,2004,Small,Tier 2,Supermarket Type1,1869.5664,20
DRA12,11.6,Low Fat,0.06072282399802762,Soft Drinks,141.9154,2004,Small,Tier 2,Supermarket Type1,992.7078,20
FDX45,16.75,Low Fat,0.104768536,Snack Foods,155.163,1987,High,Tier 3,Supermarket Type1,2972.797,37
FDR35,12.5,Low Fat,0.020680499,Breads,197.2742,1987,High,Tier 3,Supermarket Type1,2587.9646,37
FDK03,12.6,Regular,0.123727659,Dairy,253.0356,1998,Small,Tier 3,Grocery Store,254.3356,26
NCJ18,12.35,Low Fat,0.163805509,Household,117.6124,1987,High,Tier 3,Supermarket Type1,3910.9092,37
FDN48,13.35,Low Fat,0.065082452,Baking Goods,93.0804,2002,Small,Tier 2,Supermarket Type1,2113.2492,22
FDZ59,12.296461100569259,Regular,0.182128363,Baking Goods,165.65,1985,Small,Tier 1,Grocery Store,665.8,39
FDB57,13.22266369047619,Regular,0.01871404,Fruits and Vegetables,223.4772,1985,Medium,Tier 3,Supermarket Type3,7116.0704,39
DRP35,11.409116022099449,Low Fat,0.159096908,Hard Drinks,129.3336,1985,Small,Tier 1,Grocery Store,127.8336,39
FDZ59,6.63,Regular,0.103935018,Baking Goods,166.85,1987,High,Tier 3,Supermarket Type1,5326.4,37
FDU58,6.61,Regular,0.029129907,Snack Foods,188.4898,2009,Medium,Tier 3,Supermarket Type2,4677.245,15
FDL09,19.6,Regular,0.128011859,Snack Foods,166.8816,2004,Small,Tier 2,Supermarket Type1,1845.5976,20
FDY38,13.6,Regular,0.119850541,Dairy,234.53,2007,Small,Tier 2,Supermarket Type1,6524.84,17
FDI46,12.999704684317718,Low Fat,0.073985248,Snack Foods,252.5724,1985,Medium,Tier 3,Supermarket Type3,3271.7412,39
FDL03,19.25,Regular,0.027233781,Meat,197.511,2007,Small,Tier 2,Supermarket Type1,982.055,17
DRC25,11.861774193548387,Low Fat,0.079440262,Soft Drinks,86.7882,1985,Small,Tier 1,Grocery Store,85.8882,39
FDU60,20.0,Regular,0.060022526,Baking Goods,168.7132,2002,Small,Tier 2,Supermarket Type1,6426.3016,22
FDP25,12.33193820224719,Low Fat,0.02110482,Canned,217.0824,1985,Medium,Tier 3,Supermarket Type3,6769.8544,39
FDO57,20.75,Low Fat,0.181958524,Snack Foods,161.0578,1998,Small,Tier 3,Grocery Store,481.3734,26
FDQ09,7.235,Low Fat,0.058222587,Snack Foods,114.8834,1999,Medium,Tier 1,Supermarket Type1,3340.3186,25
NCY05,13.175058548009366,Low Fat,0.054723717,Health and Hygiene,36.6874,1985,Medium,Tier 3,Supermarket Type3,1058.622,39
FDA20,6.78,Low Fat,0.066724663,Fruits and Vegetables,187.724,1999,Medium,Tier 1,Supermarket Type1,1491.392,25
FDF16,7.3,Low Fat,0.144167934,Frozen Foods,146.3076,1998,Small,Tier 3,Grocery Store,886.8456,26
NCG07,12.3,Low Fat,0.052458358,Household,188.753,1987,High,Tier 3,Supermarket Type1,3795.06,37
FDR46,16.85,Low Fat,0.139985583,Snack Foods,145.276,2009,Medium,Tier 3,Supermarket Type2,2490.092,15
FDP22,14.65,Regular,0.099286298,Snack Foods,49.8666,1999,Medium,Tier 1,Supermarket Type1,563.9326,25
FDL45,15.6,Low Fat,0.037680711,Snack Foods,123.7704,2004,Small,Tier 2,Supermarket Type1,3129.26,20
NCF42,17.35,Low Fat,0.168064909,Household,176.2712,2009,Medium,Tier 3,Supermarket Type2,1230.3984,15
FDD04,16.0,Low Fat,0.090111173,Dairy,141.3154,1999,Medium,Tier 1,Supermarket Type1,3261.7542,25
FDC45,17.0,Low Fat,0.136286138,Fruits and Vegetables,170.9106,2009,Medium,Tier 3,Supermarket Type2,1197.7742,15
FDI40,11.5,Regular,0.125857678,Frozen Foods,100.5358,2002,Small,Tier 2,Supermarket Type1,2111.2518,22
FDQ11,5.695,Regular,0.067700925,Breads,256.5988,1997,Small,Tier 1,Supermarket Type1,2055.9904,27
DRM48,15.2,Low Fat,0.112896669,Soft Drinks,36.0848,1997,Small,Tier 1,Supermarket Type1,1193.1136,27
FDS12,9.1,Low Fat,0.173973652,Baking Goods,126.5362,1987,High,Tier 3,Supermarket Type1,1761.7068,37
FDR46,16.85,Low Fat,0.06072282399802762,Snack Foods,146.076,2007,Small,Tier 2,Supermarket Type1,2636.568,17
NCO02,11.15,Low Fat,0.073516952,Others,65.9142,2002,Small,Tier 2,Supermarket Type1,790.9704,22
FDQ52,17.0,Low Fat,0.119285634,Frozen Foods,247.4434,1987,High,Tier 3,Supermarket Type1,2980.1208,37
FDY28,7.47,Regular,0.153011599,Frozen Foods,215.2218,2007,Small,Tier 2,Supermarket Type1,3419.5488,17
FDE32,20.7,Low Fat,0.04875891,Fruits and Vegetables,37.3506,1997,Small,Tier 1,Supermarket Type1,834.9132,27
FDJ58,15.6,Regular,0.105276162,Snack Foods,173.2764,2004,Small,Tier 2,Supermarket Type1,3779.0808,20
FDJ27,17.7,Regular,0.122123201,Meat,100.7674,2002,Small,Tier 2,Supermarket Type1,814.9392,22
NCM18,13.0,Low Fat,0.082970667,Household,60.0194,1999,Medium,Tier 1,Supermarket Type1,1114.5492,25
FDA02,14.0,Regular,0.029782937,Dairy,146.3786,2002,Small,Tier 2,Supermarket Type1,866.8716,22
FDT26,18.85,Regular,0.067953506,Dairy,119.044,1997,Small,Tier 1,Supermarket Type1,2396.88,27
DRD60,15.7,Low Fat,0.03722507,Soft Drinks,182.4634,2004,Small,Tier 2,Supermarket Type1,1999.3974,20
NCR18,15.85,Low Fat,0.020487625,Household,44.0112,1997,Small,Tier 1,Supermarket Type1,468.7232,27
FDO27,6.175,Regular,0.179077475,Meat,94.3752,1997,Small,Tier 1,Supermarket Type1,1342.2528,27
FDP25,12.33193820224719,Low Fat,0.037131628,Canned,216.4824,1985,Small,Tier 1,Grocery Store,218.3824,39
FDQ51,16.0,Regular,0.017547958,Meat,48.3718,2004,Small,Tier 2,Supermarket Type1,614.5334,20
NCH07,13.15,Low Fat,0.093191195,Household,158.1604,2007,Small,Tier 2,Supermarket Type1,1426.1436,17
FDP44,16.5,Regular,0.079875237,Fruits and Vegetables,102.7332,2002,Small,Tier 2,Supermarket Type1,1537.998,22
NCP55,14.65,Low Fat,0.01125332,Others,57.0614,2007,Small,Tier 2,Supermarket Type1,939.4438,17
FDO09,13.5,Regular,0.125170423,Snack Foods,261.491,1987,High,Tier 3,Supermarket Type1,3418.883,37
FDP38,10.1,Low Fat,0.032152004,Canned,50.6008,1999,Medium,Tier 1,Supermarket Type1,404.8064,25
FDI48,11.85,Regular,0.056033565,Baking Goods,51.4666,2007,Small,Tier 2,Supermarket Type1,974.0654,17
FDS58,9.285,Regular,0.021049215,Snack Foods,161.0578,2002,Small,Tier 2,Supermarket Type1,2406.867,22
FDJ55,12.8,Regular,0.023526504,Meat,223.5404,2004,Small,Tier 2,Supermarket Type1,5626.01,20
NCF06,6.235,Low Fat,0.020229757,Household,260.8962,1999,Medium,Tier 1,Supermarket Type1,5956.9126,25
FDF41,12.15,Low Fat,0.131445848,Frozen Foods,246.846,2002,Small,Tier 2,Supermarket Type1,6404.996,22
NCL05,13.175058548009366,Low Fat,0.083862625,Health and Hygiene,44.077,1985,Small,Tier 1,Grocery Store,216.385,39
FDT24,12.35,Regular,0.18614827,Baking Goods,78.2328,1999,Medium,Tier 1,Supermarket Type1,1158.492,25
FDU55,16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,2009,Medium,Tier 3,Supermarket Type2,2342.9502,15
NCY18,7.285,Low Fat,0.031327839,Household,174.6054,2007,Small,Tier 2,Supermarket Type1,2976.7918,17
FDS11,7.05,Regular,0.055558509,Breads,224.7088,1997,Small,Tier 1,Supermarket Type1,3131.9232,27
FDC28,12.870898876404494,Low Fat,0.08340055660489883,Frozen Foods,109.9254,1985,Small,Tier 1,Grocery Store,108.5254,39
FDR59,14.5,Regular,0.063863551,Breads,262.3594,1997,Small,Tier 1,Supermarket Type1,4448.2098,27
DRE15,13.35,Low Fat,0.06072282399802762,Dairy,75.7012,2007,Small,Tier 2,Supermarket Type1,1442.1228,17
FDP19,11.5,Low Fat,0.06072282399802762,Fruits and Vegetables,128.4652,1999,Medium,Tier 1,Supermarket Type1,2841.6344,25
DRN47,12.1,Low Fat,0.016852909,Hard Drinks,180.666,1999,Medium,Tier 1,Supermarket Type1,2876.256,25
FDJ34,11.8,Regular,0.094037241,Snack Foods,124.5704,2009,Medium,Tier 3,Supermarket Type2,1001.3632,15
FDX21,7.05,Low Fat,0.085312137,Snack Foods,107.4912,2009,Medium,Tier 3,Supermarket Type2,982.7208,15
FDI57,12.696599999999998,Low Fat,0.053764023,Seafood,195.7768,1985,Medium,Tier 3,Supermarket Type3,3547.3824,39
NCI42,18.75,Low Fat,0.010365546,Household,207.0954,1997,Small,Tier 1,Supermarket Type1,3125.931,27
FDL03,19.25,Regular,0.027135522,Meat,196.311,2002,Small,Tier 2,Supermarket Type1,3142.576,22
FDX37,16.2,Low Fat,0.06072282399802762,Canned,100.57,1987,High,Tier 3,Supermarket Type1,1398.18,37
FDW57,8.31,Regular,0.116148596,Snack Foods,176.0028,2009,Medium,Tier 3,Supermarket Type2,4427.57,15
FDX14,13.1,Low Fat,0.075363922,Dairy,73.8354,2007,Small,Tier 2,Supermarket Type1,1956.1204,17
FDD09,13.5,Low Fat,0.021496403,Fruits and Vegetables,180.5976,1997,Small,Tier 1,Supermarket Type1,3078.6592,27
FDM09,11.15,Regular,0.085931544,Snack Foods,169.679,1997,Small,Tier 1,Supermarket Type1,1018.674,27
NCW54,7.5,Low Fat,0.096806008,Household,56.2588,2009,Medium,Tier 3,Supermarket Type2,687.1056,15
DRL11,11.409116022099449,Low Fat,0.04778563,Hard Drinks,156.5946,1985,Medium,Tier 3,Supermarket Type3,3787.0704,39
FDJ58,15.6,Regular,0.105725004,Snack Foods,169.9764,2009,Medium,Tier 3,Supermarket Type2,2748.4224,15
FDX21,12.999704684317718,Low Fat,0.148764535,Snack Foods,111.1912,1985,Small,Tier 1,Grocery Store,109.1912,39
FDA20,6.78,Low Fat,0.066997921,Fruits and Vegetables,186.524,2007,Small,Tier 2,Supermarket Type1,2609.936,17
FDL34,16.0,Low Fat,0.040938155,Snack Foods,141.1496,2004,Small,Tier 2,Supermarket Type1,4516.7872,20
FDL38,12.33193820224719,Regular,0.014661762,Canned,89.1172,1985,Medium,Tier 3,Supermarket Type3,2319.6472,39
DRL11,10.5,Low Fat,0.048213766,Hard Drinks,159.6946,2009,Medium,Tier 3,Supermarket Type2,3629.2758,15
FDO40,17.1,Low Fat,0.032761024,Frozen Foods,148.8392,2009,Medium,Tier 3,Supermarket Type2,2087.9488,15
DRZ24,7.535,Low Fat,0.06072282399802762,Soft Drinks,121.644,2002,Small,Tier 2,Supermarket Type1,1557.972,22
FDM52,15.1,Low Fat,0.025988508,Frozen Foods,146.6076,2004,Small,Tier 2,Supermarket Type1,2364.9216,20
FDM52,15.1,Low Fat,0.026140452,Frozen Foods,149.0076,2007,Small,Tier 2,Supermarket Type1,4138.6128,17
FDV49,10.0,Low Fat,0.025932408,Canned,264.7226,2009,Medium,Tier 3,Supermarket Type2,3171.8712,15
FDF47,20.85,Low Fat,0.098170402,Starchy Foods,224.0746,2007,Small,Tier 2,Supermarket Type1,2243.746,17
FDF56,16.7,Regular,0.119439636,Fruits and Vegetables,182.1976,2004,Small,Tier 2,Supermarket Type1,724.3904,20
FDW12,8.315,Regular,0.059540542,Baking Goods,143.6444,1998,Small,Tier 3,Grocery Store,145.1444,26
FDY09,12.999704684317718,Low Fat,0.044122209,Snack Foods,173.8054,1985,Small,Tier 1,Grocery Store,175.1054,39
FDY55,16.75,Low Fat,0.081304829,Fruits and Vegetables,258.4988,2004,Small,Tier 2,Supermarket Type1,4111.9808,20
FDU36,12.296461100569259,Low Fat,0.081014461,Baking Goods,98.8384,1985,Small,Tier 1,Grocery Store,492.692,39
NCR06,12.5,Low Fat,0.006775667,Household,42.9112,1999,Medium,Tier 1,Supermarket Type1,1022.6688,25
FDW24,6.8,Low Fat,0.03749705,Baking Goods,49.9034,1997,Small,Tier 1,Supermarket Type1,194.4136,27
FDF16,7.3,Low Fat,0.086060695,Frozen Foods,149.8076,1987,High,Tier 3,Supermarket Type1,2808.3444,37
NCR18,15.85,Low Fat,0.020519478,Household,42.5112,1999,Medium,Tier 1,Supermarket Type1,852.224,25
DRD01,12.1,Regular,0.061163967,Soft Drinks,56.5614,2004,Small,Tier 2,Supermarket Type1,828.921,20
FDS15,9.195,Regular,0.07821891,Meat,107.6596,2002,Small,Tier 2,Supermarket Type1,323.5788,22
FDT19,7.59,Regular,0.14492016,Fruits and Vegetables,174.708,1987,High,Tier 3,Supermarket Type1,2942.836,37
FDE59,12.15,Low Fat,0.062235983,Starchy Foods,34.5532,1987,High,Tier 3,Supermarket Type1,359.532,37
FDE04,19.75,Regular,0.030166924,Frozen Foods,179.766,1998,Small,Tier 3,Grocery Store,719.064,26
NCV17,18.85,Low Fat,0.016104504,Health and Hygiene,130.2626,2004,Small,Tier 2,Supermarket Type1,2360.9268,20
FDC17,12.15,Low Fat,0.01544786,Frozen Foods,211.2928,1987,High,Tier 3,Supermarket Type1,2735.1064,37
FDI45,13.1,Low Fat,0.037574137,Fruits and Vegetables,174.2054,2004,Small,Tier 2,Supermarket Type1,3677.2134,20
FDZ33,12.999704684317718,Low Fat,0.106876976,Snack Foods,146.7076,1985,Medium,Tier 3,Supermarket Type3,3842.9976,39
FDN25,7.895,Regular,0.061124626,Breakfast,58.5588,1987,High,Tier 3,Supermarket Type1,171.7764,37
FDC10,12.999704684317718,Regular,0.127599399,Snack Foods,118.9098,1985,Small,Tier 1,Grocery Store,120.5098,39
FDQ22,16.75,Low Fat,0.029785889,Snack Foods,38.9822,1999,Medium,Tier 1,Supermarket Type1,628.5152,25
NCR54,16.35,Low Fat,0.06072282399802762,Household,198.211,2004,Small,Tier 2,Supermarket Type1,2946.165,20
DRK11,8.21,Low Fat,0.010762387,Hard Drinks,149.5392,2004,Small,Tier 2,Supermarket Type1,1789.6704,20
DRI37,15.85,Low Fat,0.108206497,Soft Drinks,58.3904,2007,Small,Tier 2,Supermarket Type1,468.7232,17
FDX37,16.2,Low Fat,0.063127333,Canned,100.47,1999,Medium,Tier 1,Supermarket Type1,1597.92,25
FDF05,17.5,Low Fat,0.02687089,Frozen Foods,264.491,1997,Small,Tier 1,Supermarket Type1,3681.874,27
FDW36,12.296461100569259,Low Fat,0.099681705,Baking Goods,107.4622,1985,Small,Tier 1,Grocery Store,317.5866,39
FDI04,13.65,Regular,0.072898645,Frozen Foods,198.1426,2004,Small,Tier 2,Supermarket Type1,1977.426,20
FDB04,11.35,Regular,0.063354531,Dairy,88.9856,2002,Small,Tier 2,Supermarket Type1,1230.3984,22
FDU38,10.8,Low Fat,0.082534287,Dairy,191.1504,2004,Small,Tier 2,Supermarket Type1,4410.2592,20
FDY28,7.47,Regular,0.152024355,Frozen Foods,211.8218,1987,High,Tier 3,Supermarket Type1,1496.0526,37
FDP20,19.85,Low Fat,0.045669236,Fruits and Vegetables,126.402,1997,Small,Tier 1,Supermarket Type1,1012.016,27
FDC29,8.39,Regular,0.024342578,Frozen Foods,113.6176,2007,Small,Tier 2,Supermarket Type1,2862.94,17
FDR45,10.8,Low Fat,0.028988288,Snack Foods,239.2222,1999,Medium,Tier 1,Supermarket Type1,6692.6216,25
NCC42,15.0,Low Fat,0.044908404,Health and Hygiene,140.2838,1997,Small,Tier 1,Supermarket Type1,1404.838,27
NCF42,17.35,Low Fat,0.168329848,Household,176.7712,2007,Small,Tier 2,Supermarket Type1,2812.3392,17
FDZ45,14.1,Low Fat,0.111936685,Snack Foods,198.8084,1998,Small,Tier 3,Grocery Store,992.042,26
FDB23,19.2,Regular,0.005620213,Starchy Foods,226.6062,2007,Small,Tier 2,Supermarket Type1,5191.2426,17
FDC41,15.6,Low Fat,0.117095014,Frozen Foods,78.067,1999,Medium,Tier 1,Supermarket Type1,1148.505,25
NCM26,20.5,Low Fat,0.023274107,Others,154.134,2007,Small,Tier 2,Supermarket Type1,2909.546,17
FDZ58,12.999704684317718,Low Fat,0.091354948,Snack Foods,122.3072,1985,Small,Tier 1,Grocery Store,122.5072,39
FDW35,10.6,Low Fat,0.011087128,Breads,41.4454,2004,Small,Tier 2,Supermarket Type1,1468.089,20
FDX32,15.1,Regular,0.099839365,Fruits and Vegetables,143.3786,2004,Small,Tier 2,Supermarket Type1,1733.7432,20
FDK40,7.035,Low Fat,0.021938404,Frozen Foods,264.691,2009,Medium,Tier 3,Supermarket Type2,5785.802,15
FDD04,16.0,Low Fat,0.090480206,Dairy,142.4154,2007,Small,Tier 2,Supermarket Type1,1985.4156,17
FDP28,13.65,Regular,0.080640478,Frozen Foods,262.6936,1997,Small,Tier 1,Supermarket Type1,4175.8976,27
NCL42,18.85,Low Fat,0.040338009,Household,246.7144,1987,High,Tier 3,Supermarket Type1,6615.3888,37
DRB13,6.115,Regular,0.007043008,Soft Drinks,190.353,2004,Small,Tier 2,Supermarket Type1,569.259,20
FDC33,8.96,Regular,0.069219165,Fruits and Vegetables,196.5768,2009,Medium,Tier 3,Supermarket Type2,2759.0752,15
FDO58,19.6,Low Fat,0.039569689,Snack Foods,165.9526,2004,Small,Tier 2,Supermarket Type1,2631.2416,20
FDE34,9.195,Low Fat,0.180588082,Snack Foods,182.2634,1998,Small,Tier 3,Grocery Store,363.5268,26
NCE19,8.97,Low Fat,0.09301462,Household,52.7956,1997,Small,Tier 1,Supermarket Type1,1037.3164,27
FDF52,9.3,Low Fat,0.066887123,Frozen Foods,183.9292,1999,Medium,Tier 1,Supermarket Type1,3283.7256,25
FDY04,17.7,Regular,0.042468413,Frozen Foods,162.421,2004,Small,Tier 2,Supermarket Type1,1468.089,20
DRF49,7.27,Low Fat,0.071188446,Soft Drinks,111.9518,1999,Medium,Tier 1,Supermarket Type1,1138.518,25
FDX27,20.7,Regular,0.191008614,Dairy,92.8436,1998,Small,Tier 3,Grocery Store,189.0872,26
FDV28,16.1,Regular,0.159595473,Frozen Foods,32.8558,1987,High,Tier 3,Supermarket Type1,339.558,37
FDE33,13.22266369047619,Regular,0.086905536,Fruits and Vegetables,78.8644,1985,Small,Tier 1,Grocery Store,314.2576,39
FDQ37,20.75,Low Fat,0.089186387,Breakfast,193.3478,1987,High,Tier 3,Supermarket Type1,6006.1818,37
NCG30,20.2,Low Fat,0.112321218,Household,123.6046,1997,Small,Tier 1,Supermarket Type1,2988.1104,27
NCH29,5.51,Low Fat,0.034668802,Health and Hygiene,98.5726,2007,Small,Tier 2,Supermarket Type1,1761.7068,17
FDV20,20.2,Regular,0.06072282399802762,Fruits and Vegetables,129.0678,2007,Small,Tier 2,Supermarket Type1,3560.6984,17
FDG57,14.7,Low Fat,0.072592873,Fruits and Vegetables,48.5034,2009,Medium,Tier 3,Supermarket Type2,874.8612,15
FDU60,20.0,Regular,0.059889718,Baking Goods,168.5132,2004,Small,Tier 2,Supermarket Type1,2874.9244,20
NCH30,17.1,Low Fat,0.112402118,Household,112.986,1998,Small,Tier 3,Grocery Store,113.186,26
NCM29,11.5,Low Fat,0.029529474,Health and Hygiene,132.6626,1998,Small,Tier 3,Grocery Store,262.3252,26
FDB12,11.15,Regular,0.105736638,Baking Goods,104.4648,2009,Medium,Tier 3,Supermarket Type2,2181.1608,15
FDD53,16.2,Low Fat,0.044291251,Frozen Foods,43.3454,1999,Medium,Tier 1,Supermarket Type1,503.3448,25
FDI44,16.1,Low Fat,0.100388706,Fruits and Vegetables,76.0328,1999,Medium,Tier 1,Supermarket Type1,1853.5872,25
FDW56,13.22266369047619,Low Fat,0.070556945,Fruits and Vegetables,191.2162,1985,Medium,Tier 3,Supermarket Type3,7504.2318,39
FDA01,15.0,Regular,0.054599767,Canned,59.4904,2009,Medium,Tier 3,Supermarket Type2,644.4944,15
FDG47,12.8,Low Fat,0.069560905,Starchy Foods,263.0252,1987,High,Tier 3,Supermarket Type1,2885.5772,37
FDT40,5.985,Low Fat,0.06072282399802762,Frozen Foods,125.2678,2004,Small,Tier 2,Supermarket Type1,1017.3424,20
FDU20,19.35,Regular,0.021453493,Fruits and Vegetables,120.3098,2004,Small,Tier 2,Supermarket Type1,2530.7058,20
NCP41,16.6,Low Fat,0.016276741,Health and Hygiene,109.8596,2009,Medium,Tier 3,Supermarket Type2,1617.894,15
FDW36,12.296461100569259,Low Fat,0.056656942,Baking Goods,106.2622,1985,Medium,Tier 3,Supermarket Type3,2328.9684,39
FDN31,11.5,Low Fat,0.072994847,Fruits and Vegetables,189.253,1999,Medium,Tier 1,Supermarket Type1,1328.271,25
NCU54,8.88,Low Fat,0.165073642,Household,207.727,1998,Small,Tier 3,Grocery Store,209.727,26
FDS01,11.6,Low Fat,0.017744999,Canned,177.9686,1997,Small,Tier 1,Supermarket Type1,1244.3802,27
FDA23,9.8,Low Fat,0.047453947,Baking Goods,101.7016,2007,Small,Tier 2,Supermarket Type1,1518.024,17
FDY08,9.395,Regular,0.171422166,Fruits and Vegetables,139.1838,2002,Small,Tier 2,Supermarket Type1,1685.8056,22
FDJ28,12.3,Low Fat,0.021860985,Frozen Foods,193.3162,1997,Small,Tier 1,Supermarket Type1,3078.6592,27
DRF36,16.1,Low Fat,0.023577298,Soft Drinks,192.6846,1997,Small,Tier 1,Supermarket Type1,2866.269,27
FDH44,19.1,Regular,0.043304681,Fruits and Vegetables,147.5418,1998,Small,Tier 3,Grocery Store,294.2836,26
NCY54,8.43,Low Fat,0.177971115,Household,174.0422,1999,Medium,Tier 1,Supermarket Type1,2069.3064,25
FDR59,14.5,Regular,0.106894492,Breads,260.4594,1998,Small,Tier 3,Grocery Store,1046.6376,26
DRA59,8.27,Regular,0.127927931,Soft Drinks,184.8924,1997,Small,Tier 1,Supermarket Type1,4442.2176,27
FDS55,7.02,Low Fat,0.081623275,Fruits and Vegetables,148.0734,2007,Small,Tier 2,Supermarket Type1,1930.1542,17
FDZ28,20.0,Regular,0.051596927,Frozen Foods,128.0678,2002,Small,Tier 2,Supermarket Type1,1780.3492,22
DRG49,7.81,Low Fat,0.067592098,Soft Drinks,246.0486,2002,Small,Tier 2,Supermarket Type1,7086.1094,22
FDH21,12.696599999999998,Low Fat,0.054670967,Seafood,158.6604,1985,Small,Tier 1,Grocery Store,316.9208,39
